-62.115 69.613 4.636 33.819 0.176 0
-15.833 69.871 1.229 0.956 0.021 0
-15.043 69.810 1.422 2.773 0.027 0
-14.030 69.701 1.684 8.199 0.021 0
-13.000 69.564 1.987 13.264 0.032 0
-12.480 69.503 2.034 15.620 0.021 0
-10.330 69.516 2.347 23.714 0.053 0
7.485 69.997 4.215 45.184 0.105 0
8.007 69.799 4.157 47.718 0.101 0
8.520 69.506 4.251 49.708 0.080 0
10.315 69.929 4.432 48.479 0.102 0
10.975 69.677 4.451 50.337 0.103 0
-62.787 68.990 4.529 58.698 0.169 0
-62.084 68.914 4.483 50.451 0.174 0
-61.120 68.595 4.313 48.687 0.170 0
-15.665 69.462 1.304 1.407 0.032 0
-11.975 69.443 2.250 17.968 0.043 0
-10.995 69.280 2.467 22.184 0.061 0
-10.425 69.377 2.432 23.621 0.061 0
7.090 69.311 3.947 49.445 0.073 0
9.015 69.271 4.518 51.777 0.104 0
9.595 68.996 4.605 53.111 0.111 0
11.470 69.489 4.440 51.983 0.102 0
11.820 69.355 4.443 52.912 0.104 0
-60.625 68.469 4.132 46.523 0.175 0
-60.000 68.309 3.544 33.714 0.198 0
-59.390 68.154 3.216 39.773 0.189 0
-18.116 67.820 1.192 1.336 0.035 0
0.980 67.714 3.626 48.647 0.091 0
-18.525 66.813 1.172 0.604 0.079 0
-18.375 67.183 1.008 0.741 0.061 0
-33.595 65.509 4.478 52.990 0.364 0
-3.700 66.206 3.839 30.150 0.100 0
-3.000 65.971 3.500 31.691 0.100 0
-2.050 65.652 3.674 41.518 0.104 0
1.075 65.910 3.552 48.405 0.081 0
1.610 65.570 3.657 51.707 0.091 0
-33.535 65.484 4.495 52.874 0.363 0
-33.000 65.261 4.442 51.532 0.290 0
-32.000 64.844 3.937 47.968 0.137 0
-31.335 64.566 3.385 41.354 0.064 0
-1.545 65.482 3.623 42.676 0.101 0
-1.000 65.299 3.844 47.025 0.110 0
0.000 64.963 3.738 51.312 0.090 0
0.815 64.689 4.022 53.088 0.105 0
2.115 65.250 3.579 53.381 0.075 0
2.634 64.919 2.941 53.893 0.050 0
-31.010 64.431 3.567 39.011 0.066 0
-23.605 63.548 1.283 0.315 0.106 0
-4.936 63.749 4.261 50.238 0.136 0
-38.665 63.019 4.268 54.085 0.222 0
-37.933 62.780 4.224 53.081 0.193 0
-37.261 62.578 3.948 51.830 0.160 0
-24.640 63.040 1.086 0.187 0.078 0
-23.998 63.219 1.160 0.970 0.084 0
-4.934 63.275 4.252 52.588 0.175 0
-36.782 62.408 4.035 50.833 0.143 0
-36.157 62.220 3.936 49.074 0.114 0
-26.750 61.737 1.232 0.243 0.047 0
-26.120 61.529 1.702 4.905 0.035 0
-57.215 60.794 4.077 39.672 0.097 0
-26.233 61.451 1.553 4.940 0.023 0
-59.720 59.903 4.795 56.423 0.182 0
-59.082 59.604 4.645 55.113 0.156 0
-57.870 60.227 4.379 46.540 0.130 0
-56.875 59.524 4.637 49.956 0.130 0
-51.790 59.883 4.399 70.973 0.081 0
-51.205 60.046 4.366 80.508 0.083 0
-20.905 59.785 3.655 44.809 0.087 0
-20.410 59.547 3.905 47.856 0.118 0
177.181 59.864 5.918 79.316 0.145 0
-59.079 59.395 4.817 58.520 0.185 0
-57.595 59.147 4.385 55.025 0.109 0
-57.221 59.343 4.465 52.144 0.126 0
-51.720 58.968 4.320 58.299 0.113 0
-42.655 59.099 4.665 59.314 0.203 0
-42.000 58.927 4.524 51.707 0.141 0
-41.000 58.664 4.282 48.835 0.107 0
