33.819 4.636 0.176 -62.115 69.613
0.956 1.229 0.021 -15.833 69.871
2.773 1.422 0.027 -15.043 69.810
8.199 1.684 0.021 -14.030 69.701
13.264 1.987 0.032 -13.000 69.564
15.620 2.034 0.021 -12.480 69.503
23.714 2.347 0.053 -10.330 69.516
45.184 4.215 0.105 7.485 69.997
47.718 4.157 0.101 8.007 69.799
49.708 4.251 0.080 8.520 69.506
48.479 4.432 0.102 10.315 69.929
50.337 4.451 0.103 10.975 69.677
58.698 4.529 0.169 -62.787 68.990
50.451 4.483 0.174 -62.084 68.914
48.687 4.313 0.170 -61.120 68.595
1.407 1.304 0.032 -15.665 69.462
17.968 2.250 0.043 -11.975 69.443
22.184 2.467 0.061 -10.995 69.280
23.621 2.432 0.061 -10.425 69.377
49.445 3.947 0.073 7.090 69.311
51.777 4.518 0.104 9.015 69.271
53.111 4.605 0.111 9.595 68.996
51.983 4.440 0.102 11.470 69.489
52.912 4.443 0.104 11.820 69.355
46.523 4.132 0.175 -60.625 68.469
33.714 3.544 0.198 -60.000 68.309
39.773 3.216 0.189 -59.390 68.154
1.336 1.192 0.035 -18.116 67.820
48.647 3.626 0.091 0.980 67.714
0.604 1.172 0.079 -18.525 66.813
0.741 1.008 0.061 -18.375 67.183
52.990 4.478 0.364 -33.595 65.509
30.150 3.839 0.100 -3.700 66.206
31.691 3.500 0.100 -3.000 65.971
41.518 3.674 0.104 -2.050 65.652
48.405 3.552 0.081 1.075 65.910
51.707 3.657 0.091 1.610 65.570
52.874 4.495 0.363 -33.535 65.484
51.532 4.442 0.290 -33.000 65.261
47.968 3.937 0.137 -32.000 64.844
41.354 3.385 0.064 -31.335 64.566
42.676 3.623 0.101 -1.545 65.482
47.025 3.844 0.110 -1.000 65.299
51.312 3.738 0.090 0.000 64.963
53.088 4.022 0.105 0.815 64.689
53.381 3.579 0.075 2.115 65.250
53.893 2.941 0.050 2.634 64.919
39.011 3.567 0.066 -31.010 64.431
0.315 1.283 0.106 -23.605 63.548
50.238 4.261 0.136 -4.936 63.749
54.085 4.268 0.222 -38.665 63.019
53.081 4.224 0.193 -37.933 62.780
51.830 3.948 0.160 -37.261 62.578
0.187 1.086 0.078 -24.640 63.040
0.970 1.160 0.084 -23.998 63.219
52.588 4.252 0.175 -4.934 63.275
50.833 4.035 0.143 -36.782 62.408
49.074 3.936 0.114 -36.157 62.220
0.243 1.232 0.047 -26.750 61.737
4.905 1.702 0.035 -26.120 61.529
39.672 4.077 0.097 -57.215 60.794
4.940 1.553 0.023 -26.233 61.451
56.423 4.795 0.182 -59.720 59.903
55.113 4.645 0.156 -59.082 59.604
46.540 4.379 0.130 -57.870 60.227
49.956 4.637 0.130 -56.875 59.524
70.973 4.399 0.081 -51.790 59.883
80.508 4.366 0.083 -51.205 60.046
44.809 3.655 0.087 -20.905 59.785
47.856 3.905 0.118 -20.410 59.547
79.316 5.918 0.145 177.181 59.864
58.520 4.817 0.185 -59.079 59.395
55.025 4.385 0.109 -57.595 59.147
52.144 4.465 0.126 -57.221 59.343
58.299 4.320 0.113 -51.720 58.968
59.314 4.665 0.203 -42.655 59.099
51.707 4.524 0.141 -42.000 58.927
48.835 4.282 0.107 -41.000 58.664
45.011 4.194 0.097 -40.440 58.516
48.335 4.143 0.137 -20.205 59.448
77.399 5.777 0.156 177.190 58.999
74.336 5.926 0.161 -178.252 57.923
73.431 5.911 0.167 -176.981 57.620
66.885 4.877 0.143 -55.971 57.773
64.567 4.777 0.124 -55.410 57.629
50.927 4.013 0.111 -53.965 57.754
35.344 4.413 0.136 -53.185 58.175
43.911 4.307 0.098 -40.270 58.472
